APP5118752	Niger_Congo_Bantu	0.003914	0.610213	0.000010	0.012119	0.373744
APP5118757	Niger_Congo_Bantu	0.001827	0.603666	0.000010	0.007938	0.386558
APP5118760	Niger_Congo_Bantu	0.000010	0.614233	0.000010	0.000149	0.385598
APP5118762	Niger_Congo_Bantu	0.006575	0.618070	0.000010	0.008669	0.366676
APP5118770	Niger_Congo_Bantu	0.002218	0.598544	0.001675	0.035451	0.362111
APP5118772	Niger_Congo_Bantu	0.001726	0.608893	0.000010	0.007715	0.381656
APP5118780	Niger_Congo_Bantu	0.001712	0.579449	0.028176	0.006974	0.383689
APP5118804	Niger_Congo_Bantu	0.007387	0.595308	0.004094	0.000010	0.393201
APP5118829	Niger_Congo_Bantu	0.000010	0.558132	0.016654	0.031653	0.393551
APP5118856	Niger_Congo_Bantu	0.000655	0.565511	0.011595	0.003921	0.418317
APP5118861	Niger_Congo_Bantu	0.004593	0.591927	0.000010	0.002696	0.400774
APP5118863	Niger_Congo_Bantu	0.006028	0.591282	0.011644	0.017196	0.373850
APP5118871	Niger_Congo_Bantu	0.000010	0.604726	0.000010	0.008618	0.386635
APP5118872	Niger_Congo_Bantu	0.003822	0.594597	0.002415	0.006599	0.392567
APP5118878	Niger_Congo_Bantu	0.002715	0.616377	0.000010	0.000160	0.380738
APP5118941	Niger_Congo_Bantu	0.007018	0.527305	0.032084	0.068373	0.365220
APP5118944	Niger_Congo_Bantu	0.002483	0.564469	0.011879	0.065441	0.355728
APP5118971	Niger_Congo_Bantu	0.002491	0.596594	0.000724	0.002074	0.398116
APP5119000	Niger_Congo_Bantu	0.000010	0.579553	0.000010	0.000010	0.420417
APP5119003	Niger_Congo_Bantu	0.000010	0.564075	0.014197	0.080513	0.341206
APP5119011	Niger_Congo_Bantu	0.000010	0.524076	0.012286	0.000370	0.463258
APP5119029	Niger_Congo_Bantu	0.002064	0.597622	0.001203	0.000010	0.399100
APP5119089	Niger_Congo_Bantu	0.000010	0.607934	0.000010	0.020709	0.371337
APP5119099	Niger_Congo_Bantu	0.000483	0.604510	0.007986	0.006187	0.380833
APP5119106	Niger_Congo_Bantu	0.000010	0.588678	0.000010	0.000010	0.411292
APP5119134	Niger_Congo_Bantu	0.000010	0.573480	0.005810	0.004066	0.416634
APP5119138	Niger_Congo_Bantu	0.000010	0.598962	0.000010	0.005177	0.395841
APP5119142	Niger_Congo_Bantu	0.000011	0.598360	0.009536	0.000010	0.392083
APP5119166	Niger_Congo_Bantu	0.000010	0.573291	0.005955	0.009079	0.411665
APP5119188	Niger_Congo_Bantu	0.000010	0.583510	0.013971	0.009384	0.393125
APP5119199	Niger_Congo_Bantu	0.000010	0.591821	0.003856	0.000010	0.404303
APP5119239	Niger_Congo_Bantu	0.000088	0.595427	0.012748	0.015604	0.376133
APP5119241	Niger_Congo_Bantu	0.005066	0.583028	0.012159	0.022187	0.377560
APP5119262	Niger_Congo_Bantu	0.001571	0.574947	0.000010	0.000010	0.423462
APP5119287	Niger_Congo_Bantu	0.002477	0.589076	0.002731	0.001073	0.404642
APP5119289	Niger_Congo_Bantu	0.000010	0.602238	0.002437	0.000010	0.395305
APP5119354	Niger_Congo_Bantu	0.000010	0.594419	0.007606	0.000010	0.397954
APP5119361	Niger_Congo_Bantu	0.000010	0.600860	0.000010	0.025060	0.374060
APP5119403	Niger_Congo_Bantu	0.006907	0.513650	0.025282	0.070428	0.383734
