APP5118443	Niger_Congo_Bantu	0.016690	0.000010	0.000010	0.261546	0.028834	0.682402	0.010508
APP5118464	Niger_Congo_Bantu	0.013411	0.000010	0.001389	0.230463	0.016725	0.719527	0.018475
APP5118469	Niger_Congo_Bantu	0.017170	0.000010	0.001465	0.229733	0.015844	0.720547	0.015231
APP5118476	Niger_Congo_Bantu	0.002212	0.000010	0.000010	0.232370	0.051983	0.711058	0.002357
APP5118495	Niger_Congo_Bantu	0.010543	0.000010	0.002430	0.287752	0.075013	0.614550	0.009701
APP5118522	Niger_Congo_Bantu	0.042202	0.000010	0.009517	0.323384	0.008121	0.565243	0.051524
APP5118532	Niger_Congo_Bantu	0.047579	0.009425	0.005281	0.233285	0.000010	0.662375	0.042045
APP5118538	Niger_Congo_Bantu	0.002065	0.000010	0.006160	0.201049	0.012634	0.764218	0.013864
APP5118604	Niger_Congo_Bantu	0.023532	0.000010	0.003205	0.230679	0.034701	0.690204	0.017670
APP5118650	Niger_Congo_Bantu	0.009731	0.003901	0.000216	0.244498	0.062141	0.667124	0.012389
APP5118667	Niger_Congo_Bantu	0.000010	0.000010	0.000010	0.246475	0.024431	0.716699	0.012365
APP5118731	Niger_Congo_Bantu	0.030800	0.000010	0.000010	0.235382	0.005664	0.704914	0.023220
APP5118752	Niger_Congo_Bantu	0.012890	0.000010	0.005810	0.211570	0.015473	0.741655	0.012591
APP5118757	Niger_Congo_Bantu	0.009940	0.000010	0.002557	0.228088	0.021370	0.724753	0.013284
APP5118760	Niger_Congo_Bantu	0.001071	0.000010	0.000010	0.215345	0.021558	0.747575	0.014431
APP5118762	Niger_Congo_Bantu	0.009378	0.000010	0.008049	0.208608	0.008776	0.745995	0.019184
APP5118770	Niger_Congo_Bantu	0.034352	0.000010	0.003349	0.227804	0.000010	0.705021	0.029454
APP5118772	Niger_Congo_Bantu	0.008525	0.000010	0.001776	0.230937	0.009267	0.731470	0.018015
APP5118780	Niger_Congo_Bantu	0.004247	0.000010	0.002361	0.254700	0.018574	0.672621	0.047487
APP5118804	Niger_Congo_Bantu	0.000010	0.000010	0.009120	0.223989	0.036803	0.717257	0.012810
APP5118829	Niger_Congo_Bantu	0.026175	0.001115	0.000190	0.284046	0.000010	0.646356	0.042108
APP5118856	Niger_Congo_Bantu	0.000680	0.000010	0.000242	0.292004	0.014457	0.663246	0.029361
APP5118861	Niger_Congo_Bantu	0.001213	0.000010	0.006132	0.260727	0.006384	0.707330	0.018205
APP5118863	Niger_Congo_Bantu	0.014875	0.001911	0.006408	0.225662	0.020952	0.703107	0.027084
APP5118871	Niger_Congo_Bantu	0.011548	0.000010	0.000010	0.222536	0.017321	0.740846	0.007729
APP5118872	Niger_Congo_Bantu	0.005054	0.000010	0.005280	0.253891	0.011612	0.704162	0.019991
APP5118878	Niger_Congo_Bantu	0.000999	0.000010	0.004598	0.200035	0.025617	0.760480	0.008261
APP5118941	Niger_Congo_Bantu	0.061233	0.000010	0.008216	0.284383	0.000010	0.585014	0.061133
